Study_Hours,Attendance,Previous_Marks,Coaching_Class,Sleep_Hours,Sports_Activity,Learning_Resources,Internet_Access,Peer_Influence,Parent_Education,Distance_From_School,Gender,Concept_Clarity,Explanation_Quality,Student_Interaction,Lab_Facility,Lab_Timing,Performance
11,50,56,0,6,1,2,1,Low,School,Near,Female,Average,Average,Medium,1,2,Average
11,58,47,1,6,1,5,1,Medium,Graduate,Medium,Male,Average,Average,Medium,5,2,Average
4,35,27,0,4,1,1,0,High,School,Far,Male,Poor,Poor,Low,0,1,Poor
24,76,62,0,7,2,5,1,Medium,Graduate,Far,Male,Good,Good,High,4,2,Good
14,58,50,0,5,1,1,1,Medium,Postgraduate,Near,Female,Average,Average,Medium,1,3,Average
8,55,46,1,5,1,1,0,High,Graduate,Medium,Female,Average,Average,Medium,3,1,Average
36,98,90,0,7,3,1,1,Low,School,Medium,Female,Excellent,Excellent,High,1,3,Excellent
39,87,77,1,7,2,3,0,High,Graduate,Far,Female,Excellent,Excellent,High,0,1,Excellent
2,33,38,0,4,0,2,1,Medium,Graduate,Medium,Male,Poor,Poor,Low,5,1,Poor
8,64,52,0,6,2,1,1,Medium,School,Far,Female,Average,Average,Medium,2,3,Average
24,78,60,1,6,2,1,0,Medium,Graduate,Medium,Female,Good,Good,High,1,1,Good
15,76,69,1,6,2,4,1,High,Postgraduate,Near,Male,Good,Good,High,5,1,Good
4,27,13,0,4,0,4,1,Low,Graduate,Far,Female,Poor,Poor,Low,1,2,Poor
17,76,70,1,7,3,3,1,Low,Graduate,Medium,Female,Good,Good,High,4,2,Good
37,91,85,0,7,4,3,1,Medium,Postgraduate,Medium,Male,Excellent,Excellent,High,5,2,Excellent
23,74,69,1,6,3,4,1,High,Postgraduate,Far,Female,Good,Good,High,4,2,Good
14,52,56,0,5,2,5,0,High,Postgraduate,Medium,Male,Average,Average,Medium,1,0,Average
11,49,42,0,6,1,1,0,Low,School,Near,Female,Average,Average,Medium,2,0,Average
22,80,55,0,6,3,2,1,Low,School,Near,Male,Good,Good,High,3,2,Good
23,74,64,1,7,3,1,0,Medium,Postgraduate,Far,Female,Good,Good,High,0,1,Good
4,24,37,0,3,0,2,0,Low,Postgraduate,Far,Male,Poor,Poor,Low,1,2,Poor
7,42,1,1,5,0,4,0,Medium,School,Far,Male,Poor,Poor,Low,1,2,Poor
17,76,56,0,6,3,5,1,Medium,Graduate,Medium,Female,Good,Good,High,1,2,Good
24,67,73,0,7,2,2,0,High,Postgraduate,Far,Female,Good,Good,High,4,3,Good
6,25,15,0,5,1,3,1,Low,Graduate,Far,Female,Poor,Poor,Low,2,0,Poor
21,66,68,0,6,3,4,1,Low,Graduate,Near,Male,Good,Good,High,1,0,Good
21,84,74,0,7,3,1,1,High,Postgraduate,Far,Female,Good,Good,High,3,0,Good
22,68,69,1,7,3,2,0,High,Postgraduate,Near,Male,Good,Good,High,5,0,Good
24,82,74,1,7,2,4,1,High,School,Near,Female,Good,Good,High,2,0,Good
34,89,89,1,7,3,1,0,Medium,Postgraduate,Far,Male,Excellent,Excellent,High,1,0,Excellent
6,31,16,0,5,1,2,1,Medium,School,Medium,Female,Poor,Poor,Low,1,2,Poor
2,21,34,0,3,1,1,0,Low,School,Near,Female,Poor,Poor,Low,3,3,Poor
29,99,83,0,7,2,4,0,Medium,Graduate,Near,Female,Excellent,Excellent,High,4,3,Excellent
35,80,89,1,8,3,2,0,High,School,Near,Male,Excellent,Excellent,High,5,3,Excellent
8,53,40,0,5,1,3,1,High,Graduate,Medium,Female,Average,Average,Medium,1,2,Average
13,47,52,0,6,1,4,0,Medium,School,Far,Female,Average,Average,Medium,5,0,Average
5,41,21,1,5,1,3,0,High,Postgraduate,Far,Female,Poor,Poor,Low,5,3,Poor
27,80,88,1,7,2,5,0,High,Graduate,Medium,Female,Excellent,Excellent,High,2,3,Excellent
12,61,49,1,6,1,4,1,Medium,School,Medium,Male,Average,Average,Medium,0,0,Average
16,67,75,0,7,3,5,1,Medium,Postgraduate,Medium,Male,Good,Good,High,4,2,Good
21,73,71,1,7,3,5,1,High,Graduate,Near,Male,Good,Good,High,3,2,Good
24,84,77,0,8,4,4,0,Low,Postgraduate,Near,Female,Excellent,Excellent,High,3,2,Excellent
35,92,83,0,7,2,4,1,High,Postgraduate,Near,Female,Excellent,Excellent,High,1,2,Excellent
10,59,42,1,5,1,1,1,High,Graduate,Medium,Female,Average,Average,Medium,1,2,Average
2,27,2,0,3,0,1,0,Medium,School,Medium,Male,Poor,Poor,Low,3,1,Poor
5,46,34,0,3,0,3,0,High,Postgraduate,Far,Male,Poor,Poor,Low,0,3,Poor
36,93,80,0,8,4,5,1,High,Postgraduate,Near,Female,Excellent,Excellent,High,1,3,Excellent
5,47,39,0,3,0,1,1,Medium,Graduate,Near,Female,Poor,Poor,Low,2,3,Poor
20,82,66,0,6,2,3,0,Low,Postgraduate,Near,Male,Good,Good,High,5,0,Good
10,61,44,0,5,1,1,1,Medium,School,Far,Female,Average,Average,Medium,0,0,Average
31,98,82,0,8,2,4,1,High,Postgraduate,Near,Female,Excellent,Excellent,High,4,2,Excellent
20,73,61,0,6,3,2,0,Low,School,Medium,Male,Good,Good,High,2,2,Good
5,37,14,0,5,1,2,0,High,Graduate,Far,Female,Poor,Poor,Low,4,0,Poor
4,22,0,1,3,0,3,0,Low,Postgraduate,Far,Male,Poor,Poor,Low,4,2,Poor
9,60,50,1,6,2,1,0,High,Graduate,Far,Female,Average,Average,Medium,0,1,Average
22,78,79,1,6,2,2,0,Low,School,Medium,Female,Good,Good,High,0,2,Good
6,33,12,0,4,0,4,0,Medium,Postgraduate,Far,Male,Poor,Poor,Low,4,0,Poor
6,24,26,0,5,0,4,1,Low,Postgraduate,Near,Male,Poor,Poor,Low,5,0,Poor
29,85,87,1,8,2,5,1,Medium,School,Near,Female,Excellent,Excellent,High,2,0,Excellent
22,78,75,0,6,2,4,1,Low,Postgraduate,Far,Female,Good,Good,High,4,3,Good
24,90,99,1,7,4,2,1,Medium,School,Far,Male,Excellent,Excellent,High,3,2,Excellent
36,83,79,1,8,4,4,0,High,Postgraduate,Medium,Male,Excellent,Excellent,High,3,2,Excellent
13,61,42,0,6,2,3,1,Medium,Graduate,Medium,Female,Average,Average,Medium,5,0,Average
4,21,37,1,4,0,4,1,Low,Postgraduate,Medium,Female,Poor,Poor,Low,4,0,Poor
29,90,84,1,7,4,3,0,Low,Graduate,Medium,Male,Excellent,Excellent,High,4,1,Excellent
30,91,75,1,8,3,2,1,Medium,Postgraduate,Medium,Female,Excellent,Excellent,High,1,3,Excellent
19,72,62,1,7,2,4,1,Low,Postgraduate,Near,Male,Good,Good,High,5,1,Good
24,86,86,1,7,4,4,0,Low,Graduate,Medium,Female,Excellent,Excellent,High,1,0,Excellent
12,49,35,1,5,1,2,0,Low,Graduate,Far,Male,Average,Average,Medium,3,3,Average
27,90,87,0,7,4,2,0,Low,Graduate,Medium,Male,Excellent,Excellent,High,3,0,Excellent
6,31,13,1,3,1,1,0,Medium,Graduate,Far,Male,Poor,Poor,Low,1,0,Poor
21,77,79,0,7,3,4,0,Low,School,Medium,Male,Good,Good,High,3,0,Good
28,80,95,0,8,3,1,0,High,School,Medium,Female,Excellent,Excellent,High,1,0,Excellent
14,56,52,0,5,1,4,1,Low,Graduate,Far,Female,Average,Average,Medium,2,0,Average
2,41,31,0,4,1,1,0,Medium,Postgraduate,Near,Male,Poor,Poor,Low,4,0,Poor
8,45,36,0,6,1,3,1,Medium,School,Medium,Male,Average,Average,Medium,4,3,Average
10,61,50,1,6,1,2,1,High,Graduate,Far,Female,Average,Average,Medium,0,2,Average
17,75,74,1,7,2,5,1,Medium,Graduate,Far,Female,Good,Good,High,3,2,Good
2,37,38,0,5,1,3,0,High,Graduate,Far,Male,Poor,Poor,Low,4,0,Poor
29,82,77,1,7,3,3,0,Low,Graduate,Medium,Female,Excellent,Excellent,High,5,1,Excellent
7,28,27,0,3,0,5,1,High,School,Near,Female,Poor,Poor,Low,0,0,Poor
30,89,90,1,8,3,2,1,Low,Postgraduate,Medium,Male,Excellent,Excellent,High,0,2,Excellent
2,21,3,1,3,1,3,1,Low,School,Medium,Female,Poor,Poor,Low,3,3,Poor
9,53,40,1,6,1,2,1,Medium,Postgraduate,Medium,Male,Average,Average,Medium,3,2,Average
27,95,78,1,8,3,4,1,Medium,Postgraduate,Medium,Female,Excellent,Excellent,High,3,1,Excellent
21,65,68,1,6,3,1,1,Low,School,Far,Female,Good,Good,High,5,2,Good
16,66,61,1,6,3,3,0,High,Postgraduate,Medium,Male,Good,Good,High,2,2,Good
10,69,42,1,6,1,5,1,Medium,School,Far,Male,Average,Average,Medium,5,2,Average
24,78,56,0,6,3,1,0,Medium,Graduate,Medium,Female,Good,Good,High,4,0,Good
31,91,92,1,7,3,1,0,Low,Graduate,Near,Male,Excellent,Excellent,High,0,1,Excellent
24,96,88,1,8,3,1,0,Low,Graduate,Medium,Female,Excellent,Excellent,High,3,0,Excellent
18,72,74,1,6,2,4,1,Low,Graduate,Near,Female,Good,Good,High,3,3,Good
25,81,75,0,7,4,4,0,Low,Graduate,Near,Male,Excellent,Excellent,High,3,3,Excellent
15,55,53,0,5,1,4,0,Medium,Graduate,Medium,Female,Average,Average,Medium,3,2,Average
38,82,87,1,8,3,1,0,High,School,Medium,Male,Excellent,Excellent,High,4,0,Excellent
27,93,99,0,8,2,4,1,High,Postgraduate,Near,Female,Excellent,Excellent,High,4,2,Excellent
6,46,3,0,4,1,5,1,Medium,School,Medium,Male,Poor,Poor,Low,2,2,Poor
12,68,51,1,6,1,4,1,High,Graduate,Far,Male,Average,Average,Medium,5,0,Average
6,24,33,1,4,0,5,1,High,Graduate,Far,Male,Poor,Poor,Low,4,2,Poor
12,58,38,0,6,1,2,0,High,School,Near,Female,Average,Average,Medium,5,0,Average
14,53,48,1,6,2,5,1,Medium,Graduate,Near,Female,Average,Average,Medium,5,1,Average
18,78,64,0,6,2,1,0,High,School,Medium,Male,Good,Good,High,1,0,Good
27,81,75,1,7,2,4,0,Medium,Graduate,Far,Female,Excellent,Excellent,High,3,0,Excellent
5,43,25,0,4,1,5,1,Medium,Postgraduate,Near,Female,Poor,Poor,Low,4,3,Poor
4,45,21,0,3,0,3,0,High,Graduate,Far,Female,Poor,Poor,Low,2,0,Poor
33,85,99,0,8,3,3,0,Medium,Postgraduate,Medium,Male,Excellent,Excellent,High,5,2,Excellent
30,83,78,0,7,4,5,1,Medium,Postgraduate,Far,Female,Excellent,Excellent,High,2,1,Excellent
22,74,57,0,7,2,3,0,Low,Postgraduate,Medium,Female,Good,Good,High,2,1,Good
10,66,52,0,5,2,3,0,Low,Graduate,Medium,Female,Average,Average,Medium,2,3,Average
5,46,3,1,3,1,4,0,Medium,Postgraduate,Medium,Female,Poor,Poor,Low,4,1,Poor
39,84,84,1,7,2,2,0,High,Postgraduate,Near,Male,Excellent,Excellent,High,1,2,Excellent
15,55,59,0,6,1,4,1,High,Postgraduate,Near,Female,Average,Average,Medium,4,1,Average
22,74,70,0,6,3,5,1,Low,Postgraduate,Far,Female,Good,Good,High,2,3,Good
3,28,19,0,3,1,3,1,Low,Graduate,Medium,Male,Poor,Poor,Low,0,0,Poor
5,23,4,1,5,0,1,1,High,Graduate,Near,Female,Poor,Poor,Low,1,2,Poor
24,87,77,0,7,4,4,1,High,Graduate,Far,Male,Excellent,Excellent,High,0,0,Excellent
24,65,74,0,6,2,3,0,High,School,Far,Female,Good,Good,High,3,1,Good
10,57,53,0,5,2,4,1,Medium,Graduate,Near,Female,Average,Average,Medium,0,1,Average
30,93,77,1,7,4,4,0,High,School,Medium,Male,Excellent,Excellent,High,0,3,Excellent
6,21,4,1,4,0,2,0,Low,Graduate,Medium,Female,Poor,Poor,Low,1,2,Poor
8,45,55,1,5,1,3,1,Low,School,Far,Male,Average,Average,Medium,1,1,Average
6,34,18,0,4,1,2,0,Low,Graduate,Near,Male,Poor,Poor,Low,4,0,Poor
4,28,38,0,5,0,3,1,Low,Graduate,Far,Male,Poor,Poor,Low,4,0,Poor
36,98,94,0,7,2,2,0,Low,Postgraduate,Near,Female,Excellent,Excellent,High,3,3,Excellent
15,67,61,1,7,3,1,1,Low,School,Near,Male,Good,Good,High,3,3,Good
15,79,70,1,7,2,3,0,Medium,Postgraduate,Far,Male,Good,Good,High,5,2,Good
12,46,53,0,6,1,2,1,Medium,Graduate,Near,Male,Average,Average,Medium,2,1,Average
35,90,82,1,7,4,3,1,High,Graduate,Near,Female,Excellent,Excellent,High,2,2,Excellent
38,85,88,1,8,2,3,0,Low,Graduate,Near,Female,Excellent,Excellent,High,3,2,Excellent
13,51,43,0,5,1,1,1,Medium,Postgraduate,Near,Female,Average,Average,Medium,1,2,Average
16,81,68,1,6,2,2,0,Medium,Graduate,Far,Male,Good,Good,High,1,0,Good
24,80,91,0,8,2,3,0,High,Postgraduate,Medium,Female,Excellent,Excellent,High,1,3,Excellent
31,89,76,0,7,2,1,0,Medium,Postgraduate,Near,Female,Excellent,Excellent,High,5,1,Excellent
15,84,76,1,7,2,4,0,High,Postgraduate,Medium,Male,Good,Good,High,1,3,Good
3,43,27,1,5,1,5,0,Medium,School,Near,Female,Poor,Poor,Low,4,3,Poor
19,67,78,0,7,3,4,0,Low,School,Medium,Female,Good,Good,High,0,2,Good
2,20,16,0,4,1,4,1,Medium,School,Medium,Female,Poor,Poor,Low,2,1,Poor
22,67,59,1,7,3,5,0,Medium,Graduate,Far,Male,Good,Good,High,3,1,Good
10,61,58,0,6,1,3,0,Medium,School,Near,Female,Average,Average,Medium,2,1,Average
23,72,56,0,7,2,3,1,Low,Graduate,Near,Male,Good,Good,High,3,2,Good
20,68,67,1,6,3,3,1,Medium,Graduate,Medium,Female,Good,Good,High,5,3,Good
9,69,55,1,5,1,5,0,Medium,School,Far,Male,Average,Average,Medium,0,1,Average
12,66,42,1,5,1,3,1,Medium,School,Far,Male,Average,Average,Medium,4,0,Average
25,99,95,0,8,2,2,0,Low,School,Far,Male,Excellent,Excellent,High,3,2,Excellent
17,77,63,1,6,2,1,0,High,Postgraduate,Medium,Female,Good,Good,High,0,3,Good
5,49,29,0,4,1,5,0,Low,Graduate,Near,Male,Poor,Poor,Low,5,3,Poor
15,75,63,0,6,2,1,1,High,School,Far,Female,Good,Good,High,4,0,Good
14,47,37,1,5,2,5,1,Medium,Postgraduate,Near,Male,Average,Average,Medium,2,2,Average
21,78,79,1,7,2,1,1,Medium,Postgraduate,Far,Female,Good,Good,High,5,0,Good
4,24,32,0,5,0,1,0,Low,Postgraduate,Medium,Female,Poor,Poor,Low,4,2,Poor
26,99,93,1,8,4,2,0,Low,School,Far,Female,Excellent,Excellent,High,0,2,Excellent
17,83,70,0,7,2,4,0,Low,Postgraduate,Medium,Female,Good,Good,High,0,0,Good
30,90,99,0,7,3,1,1,Low,Graduate,Medium,Female,Excellent,Excellent,High,3,2,Excellent
5,34,20,0,5,0,3,0,High,Postgraduate,Medium,Male,Poor,Poor,Low,3,0,Poor
10,59,39,0,6,2,2,0,Medium,School,Medium,Female,Average,Average,Medium,3,2,Average
25,83,89,0,7,2,5,1,High,Graduate,Medium,Female,Excellent,Excellent,High,5,2,Excellent
15,57,56,0,5,1,1,1,Medium,School,Medium,Male,Average,Average,Medium,5,3,Average
24,91,91,0,7,2,5,0,Medium,Postgraduate,Medium,Male,Excellent,Excellent,High,4,2,Excellent
2,41,21,1,3,1,2,0,Low,Postgraduate,Far,Female,Poor,Poor,Low,5,0,Poor
30,93,95,1,7,4,1,1,Low,Graduate,Near,Male,Excellent,Excellent,High,3,2,Excellent
21,78,57,1,6,3,4,1,Medium,Postgraduate,Near,Male,Good,Good,High,5,0,Good
21,68,75,0,6,2,2,0,Medium,School,Far,Male,Good,Good,High,2,3,Good
15,69,48,0,5,2,5,0,Low,School,Near,Male,Average,Average,Medium,4,0,Average
6,30,31,0,4,1,2,0,Low,School,Medium,Male,Poor,Poor,Low,4,2,Poor
13,61,39,1,6,2,3,1,Medium,School,Near,Female,Average,Average,Medium,4,1,Average
7,40,30,0,4,0,5,1,Low,Postgraduate,Near,Female,Poor,Poor,Low,4,0,Poor
4,37,1,0,5,1,1,0,High,Postgraduate,Medium,Male,Poor,Poor,Low,5,1,Poor
28,88,80,0,8,4,4,0,Low,School,Medium,Male,Excellent,Excellent,High,3,3,Excellent
29,87,96,0,7,2,1,0,Low,School,Medium,Male,Excellent,Excellent,High,3,0,Excellent
28,90,87,1,8,3,5,0,Medium,Graduate,Medium,Male,Excellent,Excellent,High,1,2,Excellent
10,52,42,1,6,1,3,1,Medium,School,Far,Female,Average,Average,Medium,4,3,Average
18,70,61,0,7,2,3,0,Low,Graduate,Far,Female,Good,Good,High,3,3,Good
30,96,78,1,8,2,3,1,Low,Postgraduate,Near,Male,Excellent,Excellent,High,1,0,Excellent
20,77,59,1,6,3,2,1,Low,Postgraduate,Near,Female,Good,Good,High,0,0,Good
25,80,90,1,7,3,4,1,Low,Graduate,Far,Male,Excellent,Excellent,High,4,2,Excellent
36,91,95,1,7,3,4,1,Medium,Postgraduate,Near,Male,Excellent,Excellent,High,2,0,Excellent
37,99,85,0,7,2,2,0,Low,School,Medium,Male,Excellent,Excellent,High,0,2,Excellent
39,87,90,0,8,2,3,0,Low,Graduate,Near,Male,Excellent,Excellent,High,3,3,Excellent
29,94,85,0,8,4,5,0,High,School,Medium,Female,Excellent,Excellent,High,4,1,Excellent
23,67,55,1,6,3,1,0,Medium,Postgraduate,Medium,Female,Good,Good,High,5,3,Good
28,91,83,1,7,4,2,0,High,Graduate,Medium,Male,Excellent,Excellent,High,2,2,Excellent
18,81,66,0,7,2,2,0,Medium,Graduate,Medium,Male,Good,Good,High,3,0,Good
4,29,35,1,5,0,5,1,Low,Graduate,Medium,Female,Poor,Poor,Low,0,1,Poor
13,65,54,1,6,2,4,0,Medium,Postgraduate,Near,Female,Average,Average,Medium,3,3,Average
10,52,49,0,5,1,1,0,High,Postgraduate,Near,Male,Average,Average,Medium,2,2,Average
29,91,85,1,7,2,5,1,Medium,School,Near,Male,Excellent,Excellent,High,1,2,Excellent
38,86,99,0,7,4,4,0,High,Graduate,Near,Female,Excellent,Excellent,High,4,1,Excellent
31,83,94,0,7,3,1,0,Medium,Graduate,Near,Male,Excellent,Excellent,High,4,2,Excellent
20,70,74,1,6,3,3,1,Medium,Graduate,Medium,Female,Good,Good,High,4,0,Good
20,78,63,0,7,2,4,1,Low,Graduate,Medium,Female,Good,Good,High,1,3,Good
1,26,4,1,5,1,1,0,High,School,Near,Male,Poor,Poor,Low,1,2,Poor
29,96,81,0,7,4,2,1,Medium,Postgraduate,Near,Female,Excellent,Excellent,High,0,0,Excellent
17,69,60,1,6,2,3,1,Medium,School,Medium,Male,Good,Good,High,4,2,Good
20,77,70,1,7,3,1,0,Medium,Postgraduate,Medium,Female,Good,Good,High,1,1,Good
16,70,74,0,7,2,5,0,Low,School,Near,Female,Good,Good,High,2,3,Good
10,55,58,1,6,2,3,0,High,Postgraduate,Medium,Male,Average,Average,Medium,4,3,Average
14,59,43,0,6,2,3,0,High,Postgraduate,Medium,Female,Average,Average,Medium,3,3,Average
17,72,55,1,6,2,5,0,High,Postgraduate,Near,Female,Good,Good,High,3,1,Good
29,99,81,0,8,3,4,0,Low,Graduate,Far,Male,Excellent,Excellent,High,3,2,Excellent
28,98,77,0,7,3,4,0,High,Graduate,Far,Female,Excellent,Excellent,High,1,3,Excellent
1,27,11,1,3,0,3,0,High,School,Medium,Female,Poor,Poor,Low,3,1,Poor
10,69,41,1,5,2,1,1,Medium,Graduate,Medium,Female,Average,Average,Medium,5,2,Average
19,66,70,0,7,2,5,1,Low,Postgraduate,Medium,Male,Good,Good,High,1,2,Good
24,88,91,1,8,2,2,0,Medium,School,Near,Male,Excellent,Excellent,High,3,0,Excellent
28,85,83,0,7,4,4,1,Medium,Graduate,Far,Male,Excellent,Excellent,High,5,0,Excellent
13,63,54,0,6,1,1,1,Low,Graduate,Medium,Male,Average,Average,Medium,0,2,Average
4,26,16,1,4,1,5,0,Low,Postgraduate,Near,Female,Poor,Poor,Low,2,0,Poor
38,87,90,0,7,4,3,0,Low,Graduate,Far,Male,Excellent,Excellent,High,1,0,Excellent
24,84,71,1,6,2,2,1,High,Graduate,Far,Male,Good,Good,High,2,3,Good
14,66,35,1,6,1,2,0,Low,School,Far,Male,Average,Average,Medium,2,0,Average
5,28,31,0,5,0,4,1,Low,Graduate,Near,Female,Poor,Poor,Low,3,0,Poor
14,45,43,0,5,1,5,0,Medium,Graduate,Far,Male,Average,Average,Medium,2,1,Average
28,87,97,0,8,4,3,0,Medium,Postgraduate,Near,Female,Excellent,Excellent,High,1,0,Excellent
20,65,72,1,6,3,5,0,Low,Postgraduate,Medium,Female,Good,Good,High,0,2,Good
32,99,87,1,7,4,1,0,Medium,Graduate,Medium,Male,Excellent,Excellent,High,3,2,Excellent
31,94,76,0,8,2,1,0,Medium,Postgraduate,Far,Male,Excellent,Excellent,High,5,2,Excellent
29,96,80,1,8,3,1,0,Low,Graduate,Far,Female,Excellent,Excellent,High,4,1,Excellent
8,69,44,1,5,2,4,1,Medium,Postgraduate,Medium,Female,Average,Average,Medium,0,2,Average
30,84,86,1,8,4,3,1,Low,School,Far,Female,Excellent,Excellent,High,5,2,Excellent
30,88,91,1,7,2,2,0,High,School,Medium,Male,Excellent,Excellent,High,2,1,Excellent
30,85,80,0,8,2,1,1,Low,Graduate,Near,Female,Excellent,Excellent,High,0,0,Excellent
34,86,95,0,7,4,4,1,Low,Graduate,Far,Female,Excellent,Excellent,High,1,2,Excellent
